Numero du noeud;Type;X;Y;NOS reseau initial;NOS reseau final;P (pu);Q(pu)
1;Secondary substation;133.756717874612;188.132822591193;1;0;0.0138096044888052;0.00552384179552208
2;Secondary substation;447.951166707258;979.741691311897;1;1;0.0374012756841706;0.0149605102736682
3;Secondary substation;533.532004479763;200.050593689813;0;0;0.0289707773867623;0.0115883109547049
4;Secondary substation;52.0178337600029;129.113783487552;0;0;0.0129262121499823;0.00517048485999292
5;Secondary substation;406.093757735419;695.737843088543;0;0;0.0183549465660115;0.0073419786264046
6;Secondary substation;855.608977097288;704.851814102239;0;1;0.0264064455761495;0.0105625782304598
7;Secondary substation;799.55960629762;553.182176810866;0;0;0.0371737581122686;0.0148695032449074
8;Secondary substation;958.839062644362;537.505860181916;0;0;0.0138096044888052;0.00552384179552208
9;Secondary substation;616.167966971701;725.009403795853;0;0;0.0;0.0
10;Secondary substation;29.7160106242421;789.592199282487;0;0;0.0;0.0
11;Primary substation;211.629096410224;482.935599685872;0;0;0.02;0.008
12;Primary substation;493.994473751434;168.534037373632;0;0;0.0371737581122686;0.0148695032449074
